photo_id,title,description,tags,faves
47922891637,British Museum,"A marble statue of Emperor Septimius Severus, who ruled 193-200AD. A skilled general. he campaigned all over Europe and died in York.","britishmuseum, london, sculpture, roman",4.0
47922890172,British Museum,Busts of Roman worthies.,"britishmuseum, london, sculpture, roman",5.0
47922879348,British Museum,"A bronze bust of the emperor Lucius Verus, who ruled 161-169AD.","britishmuseum, london, sculpture, roman, bronze, bust",7.0
46995613225,Ludgate House`Demolished,"Heres A Special Request For Contact `RTM Boy` Ludgate House Was Only Opened In 1989 By Margaret Thatcher When She Was Still Prime Minister Once Home To Publishers UBM And Then Balfour Beatty..Sampson House On The Other Side Of The Arches Is Currently Being Demolished...The Carlyle Group Statement As Follows.. A Residential-Led Development Combining Nine Buildings That House Nearly 500 Homes Along With Offices, Cultural And Retail Space As Well As Leisure Amenities...See The Man In The Photo?....240 Blackfriars And One Blackfriars Seen In The Rear... ","london, se1, southwark, blackfriars, local, history, vanished, site, demolished, trees, angle, sad, mad, surreal, crane, digger, urban, england, arches, viaduct, mcgee, streetfurniture, architecture, uk, classic, art, thameslink, windows, canon, tourism, tourists, bricks, wall, river, thames, southbank, bankside",4.0
40943813843,Get Happy book with orange juice,"It's all about a good book with positive summer vibes.

Still life shot based on two things I enjoy - Reading and positive thinking","stilllife, book, gethappy, positive, mentalhealth, wellbeing, happy, yellow, blue, skyblue, sunglasses, sunshades, dranthonygunn, summer, sun, read, reading, happiness, joy, grass, park, claphamcommon, common",0.0
40943646353,Sip Savor Enjoy,Nothing like a soothing cup of tea to enjoy in the summer sun,"stilllife, outdoors, park, trees, grass, drink, tea, herbaltea, yellow, pink, cup, mug, hot, hotdrink, soothing, summer, tealable, teabag, teabags, sip, savour, enjoy, sipsavourenjoy, bluesky, macro, closeup, upclose",3.0
40943562223,The Departed,The magnificent roof of Brunel's GWR Paddington Station with new class 800  Intercity Express Trains as well outgoing HSTs at the platforms.  6 April 2019,"20190406, 800317, hst, highspeedtrain, iet, intercityexpresstrain, london, londonpaddingtonstation, paddington, class800, railway",4.0
40943303123,British Museum,"Three dramatic masks from 1st or 2nd century Rome. Masks worn by actors were usually made of linen and have not survived. These stone ones, each one about six inches high, were decorative or possibly placed in shrines.","britishmuseum, london, sculpture, stone, roman, mask",6.0
47856394712,Queen Victoria & Prince Albert,"Victoria and Albert Museum, London UK","museum, statue",29.0
40941631943,Chest flowers on table,"At Queen Charlotte's Cottage in Kew Gardens, London","chest, flowers, kew, gardens, london, fujifilm, xt2",1.0
